id,last_fcd_time,depart,time_in_network
motorcycle_651_dup,3598.0,469.08,3128.92
motorcycle_651,3598.0,468.72,3129.2799999999997
car_645_dup,3598.0,464.76,3133.24
car_645,3598.0,464.4,3133.6
car_643_dup,3598.0,463.32,3134.68
car_643,3598.0,462.96,3135.04
motorcycle_639_dup,3598.0,460.44,3137.56
motorcycle_639,3598.0,460.08,3137.92
motorcycle_638_dup,3598.0,459.72,3138.2799999999997
motorcycle_638,3598.0,459.36,3138.64
car_636_dup,3598.0,458.28,3139.7200000000003
car_636,3598.0,457.92,3140.08
car_632_dup,3598.0,455.4,3142.6
