id,last_fcd_time,depart,time_in_network
car_747,3598.0,537.84,3060.16
motorcycle_741,3598.0,533.52,3064.48
car_730,3598.0,525.6,3072.4
car_724,3598.0,521.28,3076.7200000000003
motorcycle_715,3598.0,514.8,3083.2
car_697,3598.0,501.84,3096.16
car_684,3598.0,492.48,3105.52
bus_653,3598.0,470.16,3127.84
truck_637,3598.0,458.64,3139.36
bus_598,3598.0,430.56,3167.44
truck_574_dup,3598.0,413.64,3184.36
truck_574,3598.0,413.28,3184.7200000000003
truck_569_dup,3598.0,410.04,3187.96
truck_569,3598.0,409.68,3188.32
bus_566_dup,3598.0,407.88,3190.12
bus_566,3598.0,407.52,3190.48
motorcycle_559_dup,3598.0,402.84,3195.16
motorcycle_559,3598.0,402.48,3195.52
bus_549_dup,3598.0,395.64,3202.36
bus_549,3598.0,395.28,3202.7200000000003
car_547_dup,3598.0,394.2,3203.8
car_547,3598.0,393.84,3204.16
truck_500_dup,3598.0,360.36,3237.64
truck_500,3598.0,360.0,3238.0
bus_477_dup,3598.0,343.8,3254.2
bus_477,3598.0,343.44,3254.56
bus_140,3598.0,100.8,3497.2
car_139_dup,3598.0,100.44,3497.56
car_139,3598.0,100.08,3497.92
bus_134_dup,3598.0,96.84,3501.16
bus_134,3598.0,96.48,3501.52
motorcycle_132_dup,3598.0,95.4,3502.6
motorcycle_132,3598.0,95.04,3502.96
car_113_dup,3598.0,81.72,3516.28
car_113,3598.0,81.36,3516.64
motorcycle_111_dup,3598.0,80.28,3517.72
motorcycle_111,3598.0,79.92,3518.08
