id,last_fcd_time,depart,time_in_network
motorcycle_3574,3598.0,2573.28,1024.7199999999998
car_3571,3598.0,2571.12,1026.88
motorcycle_3570,3598.0,2570.4,1027.6
motorcycle_3566,3598.0,2567.52,1030.48
motorcycle_3565,3598.0,2566.8,1031.1999999999998
truck_3551,3598.0,2556.72,1041.2800000000002
car_3549,3598.0,2555.28,1042.7199999999998
car_3547,3598.0,2553.84,1044.1599999999999
bus_3545,3598.0,2552.4,1045.6
truck_3540,3598.0,2548.8,1049.1999999999998
car_3538,3598.0,2547.36,1050.6399999999999
truck_3532,3598.0,2543.04,1054.96
motorcycle_1751,3598.0,1260.72,2337.2799999999997
motorcycle_1749,3598.0,1259.28,2338.7200000000003
motorcycle_1742,3598.0,1254.24,2343.76
motorcycle_1741,3598.0,1253.52,2344.48
car_1735,3598.0,1249.2,2348.8
car_1731,3598.0,1246.32,2351.6800000000003
truck_1729,3598.0,1244.88,2353.12
bus_1722,3598.0,1239.84,2358.16
car_1719,3598.0,1237.68,2360.3199999999997
bus_1681,3598.0,1210.32,2387.6800000000003
car_871,3598.0,627.12,2970.88
car_870,3598.0,626.4,2971.6
car_869,3598.0,625.68,2972.32
car_867,3598.0,624.24,2973.76
car_863,3598.0,621.36,2976.64
car_862,3598.0,620.64,2977.36
motorcycle_859,3598.0,618.48,2979.52
truck_853,3598.0,614.16,2983.84
motorcycle_843,3598.0,606.96,2991.04
bus_840,3598.0,604.8,2993.2
car_838,3598.0,603.36,2994.64
motorcycle_833,3598.0,599.76,2998.24
