id,last_fcd_time,depart,time_in_network
car_2260,3598.0,1627.2,1970.8
car_2258,3598.0,1625.76,1972.24
car_2255,3598.0,1623.6,1974.4
bus_2253,3598.0,1622.16,1975.84
motorcycle_2250,3598.0,1620.0,1978.0
motorcycle_2248,3598.0,1618.56,1979.44
truck_2241,3598.0,1613.52,1984.48
motorcycle_2237,3598.0,1610.64,1987.36
truck_2215,3598.0,1594.8,2003.2
car_2207,3598.0,1589.04,2008.96
motorcycle_2197,3598.0,1581.84,2016.16
bus_2195,3598.0,1580.4,2017.6
car_1479,3598.0,1064.88,2533.12
motorcycle_1478,3598.0,1064.16,2533.84
motorcycle_1475,3598.0,1062.0,2536.0
car_1472,3598.0,1059.84,2538.16
motorcycle_1464,3598.0,1054.08,2543.92
motorcycle_1460,3598.0,1051.2,2546.8
motorcycle_1459,3598.0,1050.48,2547.52
motorcycle_1453,3598.0,1046.16,2551.84
bus_1450,3598.0,1044.0,2554.0
motorcycle_1442,3598.0,1038.24,2559.76
motorcycle_1435,3598.0,1033.2,2564.8
motorcycle_1434,3598.0,1032.48,2565.52
car_1433,3598.0,1031.76,2566.24
motorcycle_1432,3598.0,1031.04,2566.96
car_782,3598.0,563.04,3034.96
car_781,3598.0,562.32,3035.68
car_780,3598.0,561.6,3036.4
motorcycle_779,3598.0,560.88,3037.12
car_773,3598.0,556.56,3041.44
motorcycle_772,3598.0,555.84,3042.16
truck_765,3598.0,550.8,3047.2
car_760,3598.0,547.2,3050.8
