id,last_fcd_time,depart,time_in_network
bus_4923,3598.0,3544.56,53.440000000000055
motorcycle_4913,3598.0,3537.36,60.63999999999987
car_4904,3598.0,3530.88,67.11999999999989
bus_4886,3598.0,3517.92,80.07999999999993
car_4884,3598.0,3516.48,81.51999999999998
car_4883,3598.0,3515.76,82.23999999999978
car_4881,3598.0,3514.32,83.67999999999984
car_4866,3598.0,3503.52,94.48000000000002
bus_4850,3598.0,3492.0,106.0
bus_4830,3598.0,3477.6,120.40000000000009
bus_4821,3598.0,3471.12,126.88000000000011
bus_4807,3598.0,3461.04,136.96000000000004
bus_2855,3598.0,2055.6,1542.4
truck_2852,3598.0,2053.44,1544.56
car_2850,3598.0,2052.0,1546.0
car_2843,3598.0,2046.96,1551.04
car_2838,3598.0,2043.36,1554.64
car_2835,3598.0,2041.2,1556.8
car_2815,3598.0,2026.8,1571.2
car_2784,3598.0,2004.48,1593.52
car_2783,3598.0,2003.76,1594.24
car_2781,3598.0,2002.32,1595.68
truck_1543,3598.0,1110.96,2487.04
car_1538,3598.0,1107.36,2490.6400000000003
bus_1533,3598.0,1103.76,2494.24
motorcycle_1530,3598.0,1101.6,2496.4
car_1529,3598.0,1100.88,2497.12
car_1526,3598.0,1098.72,2499.2799999999997
bus_1520,3598.0,1094.4,2503.6
