id,last_fcd_time,depart,time_in_network
truck_926,3598.0,666.72,2931.2799999999997
car_921,3598.0,663.12,2934.88
car_916,3598.0,659.52,2938.48
car_915,3598.0,658.8,2939.2
motorcycle_913,3598.0,657.36,2940.64
bus_910,3598.0,655.2,2942.8
truck_904,3598.0,650.88,2947.12
motorcycle_896,3598.0,645.12,2952.88
motorcycle_850,3598.0,612.0,2986.0
motorcycle_810,3598.0,583.2,3014.8
motorcycle_786,3598.0,565.92,3032.08
bus_769,3598.0,553.68,3044.32
motorcycle_761,3598.0,547.92,3050.08
motorcycle_743,3598.0,534.96,3063.04
motorcycle_709,3598.0,510.48,3087.52
bus_695,3598.0,500.4,3097.6
car_690,3598.0,496.8,3101.2
motorcycle_667,3598.0,480.24,3117.76
motorcycle_661,3598.0,475.92,3122.08
car_660,3598.0,475.2,3122.8
car_612,3598.0,440.64,3157.36
bus_598,3598.0,430.56,3167.44
truck_569,3598.0,409.68,3188.32
bus_566,3598.0,407.52,3190.48
bus_549,3598.0,395.28,3202.7200000000003
bus_476,3598.0,342.72,3255.2799999999997
bus_469,3598.0,337.68,3260.32
truck_467,3598.0,336.24,3261.76
bus_456,3598.0,328.32,3269.68
motorcycle_243,3598.0,174.96,3423.04
car_240,3598.0,172.8,3425.2
bus_235,3598.0,169.2,3428.8
bus_232,3598.0,167.04,3430.96
car_223,3598.0,160.56,3437.44
car_221,3598.0,159.12,3438.88
bus_218,3598.0,156.96,3441.04
motorcycle_212,3598.0,152.64,3445.36
