id,last_fcd_time,depart,time_in_network
bus_1641,3598.0,1181.52,2416.48
bus_1638,3598.0,1179.36,2418.6400000000003
car_1632_dup,3598.0,1175.4,2422.6
bus_1621,3598.0,1167.12,2430.88
car_1610_dup,3598.0,1159.56,2438.44
car_1610,3598.0,1159.2,2438.8
car_1187,3598.0,854.64,2743.36
motorcycle_1181,3598.0,850.32,2747.68
car_1180_dup,3598.0,849.96,2748.04
car_1180,3598.0,849.6,2748.4
car_1177_dup,3598.0,847.8,2750.2
car_1177,3598.0,847.44,2750.56
car_1157_dup,3598.0,833.4,2764.6
car_1157,3598.0,833.04,2764.96
truck_555,3598.0,399.6,3198.4
motorcycle_554,3598.0,398.88,3199.12
car_550_dup,3598.0,396.36,3201.64
car_550,3598.0,396.0,3202.0
bus_544,3598.0,391.68,3206.32
bus_543,3598.0,390.96,3207.04
car_542_dup,3598.0,390.6,3207.4
car_542,3598.0,390.24,3207.76
