id,last_fcd_time,depart,time_in_network
bus_852,3598.0,613.44,2984.56
motorcycle_850_dup,3598.0,612.36,2985.64
motorcycle_850,3598.0,612.0,2986.0
car_846,3598.0,609.12,2988.88
motorcycle_845_dup,3598.0,608.76,2989.24
motorcycle_845,3598.0,608.4,2989.6
bus_831,3598.0,598.32,2999.68
bus_812_dup,3598.0,585.0,3013.0
bus_812,3598.0,584.64,3013.36
car_797_dup,3598.0,574.2,3023.8
car_797,3598.0,573.84,3024.16
car_794,3598.0,571.68,3026.32
bus_790_dup,3598.0,569.16,3028.84
bus_511,3598.0,367.92,3230.08
truck_504,3598.0,362.88,3235.12
motorcycle_503,3598.0,362.16,3235.84
car_501,3598.0,360.72,3237.2799999999997
car_499,3598.0,359.28,3238.7200000000003
motorcycle_497_dup,3598.0,358.2,3239.8
motorcycle_497,3598.0,357.84,3240.16
bus_493,3598.0,354.96,3243.04
car_491,3598.0,353.52,3244.48
bus_489,3598.0,352.08,3245.92
car_486,3598.0,349.92,3248.08
car_478,3598.0,344.16,3253.84
car_463,3598.0,333.36,3264.64
car_458,3598.0,329.76,3268.24
car_450_dup,3598.0,324.36,3273.64
car_450,3598.0,324.0,3274.0
car_446,3598.0,321.12,3276.88
car_445_dup,3598.0,320.76,3277.24
car_445,3598.0,320.4,3277.6
motorcycle_243,3598.0,174.96,3423.04
bus_242_dup,3598.0,174.6,3423.4
bus_242,3598.0,174.24,3423.76
car_240_dup,3598.0,173.16,3424.84
car_240,3598.0,172.8,3425.2
truck_237_dup,3598.0,171.0,3427.0
truck_237,3598.0,170.64,3427.36
bus_235_dup,3598.0,169.56,3428.44
