id,last_fcd_time,depart,time_in_network
truck_3654,3598.0,2279.14,1318.8600000000001
truck_3653,3598.0,2278.65,1319.35
bus_3652,3598.0,2278.16,1319.8400000000001
motorcycle_3649,3598.0,2276.69,1321.31
truck_3648,3598.0,2276.2,1321.8000000000002
motorcycle_3643,3598.0,2273.75,1324.25
motorcycle_3632,3598.0,2268.39,1329.6100000000001
motorcycle_3631,3598.0,2267.9,1330.1
car_3612,3598.0,2258.69,1339.31
car_3609,3598.0,2257.24,1340.7600000000002
car_3598,3598.0,2251.94,1346.06
car_3596,3598.0,2250.98,1347.02
car_3578,3598.0,2242.35,1355.65
bus_1404,3598.0,1348.78,2249.2200000000003
motorcycle_1403,3598.0,1348.3,2249.7
bus_1397,3598.0,1345.42,2252.58
car_1395,3598.0,1344.45,2253.55
bus_1393,3598.0,1343.49,2254.51
motorcycle_1392,3598.0,1343.01,2254.99
motorcycle_1374,3598.0,1334.3,2263.7
car_1373,3598.0,1333.81,2264.19
car_720,3598.0,965.88,2632.12
truck_719,3598.0,965.21,2632.79
car_716,3598.0,963.2,2634.8
motorcycle_711,3598.0,959.83,2638.17
car_708,3598.0,957.8,2640.2
bus_706,3598.0,956.45,2641.55
car_704,3598.0,955.09,2642.91
car_700,3598.0,952.38,2645.62
