id,last_fcd_time,depart,time_in_network
bus_2247,3598.0,1706.32,1891.68
car_2246,3598.0,1705.94,1892.06
truck_2241,3598.0,1704.04,1893.96
motorcycle_2237,3598.0,1702.52,1895.48
motorcycle_2235,3598.0,1701.76,1896.24
motorcycle_2232,3598.0,1700.62,1897.38
bus_2225,3598.0,1697.95,1900.05
car_2217,3598.0,1694.89,1903.11
truck_2215,3598.0,1694.13,1903.87
car_2207,3598.0,1691.06,1906.94
motorcycle_2197,3598.0,1687.23,1910.77
bus_2195,3598.0,1686.46,1911.54
truck_2192,3598.0,1685.31,1912.69
motorcycle_2189,3598.0,1684.15,1913.85
truck_1602,3598.0,1440.76,2157.24
car_1601,3598.0,1440.31,2157.69
car_1598,3598.0,1438.96,2159.04
car_1592,3598.0,1436.25,2161.75
bus_1590,3598.0,1435.35,2162.65
car_1585,3598.0,1433.09,2164.91
truck_1582,3598.0,1431.73,2166.27
motorcycle_1580,3598.0,1430.83,2167.17
car_1578,3598.0,1429.92,2168.08
motorcycle_1574,3598.0,1428.11,2169.8900000000003
bus_1571,3598.0,1426.75,2171.25
car_1567,3598.0,1424.93,2173.0699999999997
car_1551,3598.0,1417.64,2180.3599999999997
truck_1532,3598.0,1408.93,2189.0699999999997
motorcycle_1514,3598.0,1400.63,2197.37
car_1508,3598.0,1397.85,2200.15
motorcycle_779,3598.0,1004.68,2593.32
car_773,3598.0,1000.8,2597.2
motorcycle_772,3598.0,1000.16,2597.84
truck_765,3598.0,995.61,2602.39
car_763,3598.0,994.31,2603.69
car_760,3598.0,992.35,2605.65
car_758,3598.0,991.05,2606.95
bus_752,3598.0,987.12,2610.88
car_751,3598.0,986.46,2611.54
motorcycle_738,3598.0,977.88,2620.12
truck_729,3598.0,971.9,2626.1
