id,last_fcd_time,depart,time_in_network
car_1832,3598.0,1319.04,2278.96
car_1806,3598.0,1300.32,2297.6800000000003
truck_1780,3598.0,1281.6,2316.4
car_1769,3598.0,1273.68,2324.3199999999997
motorcycle_1761,3598.0,1267.92,2330.08
bus_1720,3598.0,1238.4,2359.6
motorcycle_1713,3598.0,1233.36,2364.6400000000003
motorcycle_1700,3598.0,1224.0,2374.0
car_1694,3598.0,1219.68,2378.3199999999997
car_1686,3598.0,1213.92,2384.08
motorcycle_1644,3598.0,1183.68,2414.3199999999997
car_1623,3598.0,1168.56,2429.44
truck_1602,3598.0,1153.44,2444.56
bus_1571,3598.0,1131.12,2466.88
motorcycle_1116,3598.0,803.52,2794.48
car_1106_dup,3598.0,796.68,2801.32
car_1106,3598.0,796.32,2801.68
car_1078_dup,3598.0,776.52,2821.48
car_1078,3598.0,776.16,2821.84
motorcycle_1076_dup,3598.0,775.08,2822.92
motorcycle_1076,3598.0,774.72,2823.2799999999997
car_1069,3598.0,769.68,2828.32
car_1050_dup,3598.0,756.36,2841.64
car_1050,3598.0,756.0,2842.0
bus_1047,3598.0,753.84,2844.16
truck_1037_dup,3598.0,747.0,2851.0
truck_1037,3598.0,746.64,2851.36
car_1027,3598.0,739.44,2858.56
car_1005,3598.0,723.6,2874.4
truck_997_dup,3598.0,718.2,2879.8
truck_997,3598.0,717.84,2880.16
truck_986,3598.0,709.92,2888.08
motorcycle_941_dup,3598.0,677.88,2920.12
motorcycle_941,3598.0,677.52,2920.48
truck_940_dup,3598.0,677.16,2920.84
truck_940,3598.0,676.8,2921.2
motorcycle_936_dup,3598.0,674.28,2923.7200000000003
motorcycle_936,3598.0,673.92,2924.08
car_929_dup,3598.0,669.24,2928.76
car_929,3598.0,668.88,2929.12
car_921_dup,3598.0,663.48,2934.52
car_921,3598.0,663.12,2934.88
motorcycle_919_dup,3598.0,662.04,2935.96
motorcycle_919,3598.0,661.68,2936.32
car_915_dup,3598.0,659.16,2938.84
car_915,3598.0,658.8,2939.2
car_177_dup,3598.0,127.8,3470.2
car_177,3598.0,127.44,3470.56
bus_172_dup,3598.0,124.2,3473.8
bus_172,3598.0,123.84,3474.16
motorcycle_164_dup,3598.0,118.44,3479.56
motorcycle_164,3598.0,118.08,3479.92
car_163_dup,3598.0,117.72,3480.28
car_163,3598.0,117.36,3480.64
bus_158_dup,3598.0,114.12,3483.88
bus_158,3598.0,113.76,3484.24
