id,last_fcd_time,depart,time_in_network
motorcycle_3638,3598.0,2619.36,978.6399999999999
motorcycle_3632,3598.0,2615.04,982.96
motorcycle_3631,3598.0,2614.32,983.6799999999998
motorcycle_3629,3598.0,2612.88,985.1199999999999
truck_3621,3598.0,2607.12,990.8800000000001
car_3614,3598.0,2602.08,995.9200000000001
car_3612,3598.0,2600.64,997.3600000000001
car_3609,3598.0,2598.48,999.52
car_3598,3598.0,2590.56,1007.44
car_3596,3598.0,2589.12,1008.8800000000001
car_3578,3598.0,2576.16,1021.8400000000001
car_3571,3598.0,2571.12,1026.88
motorcycle_3570,3598.0,2570.4,1027.6
motorcycle_3566,3598.0,2567.52,1030.48
motorcycle_3565,3598.0,2566.8,1031.1999999999998
car_3538,3598.0,2547.36,1050.6399999999999
motorcycle_1797,3598.0,1293.84,2304.16
motorcycle_1795,3598.0,1292.4,2305.6
car_1792,3598.0,1290.24,2307.76
truck_1790,3598.0,1288.8,2309.2
car_1789,3598.0,1288.08,2309.92
motorcycle_1786,3598.0,1285.92,2312.08
bus_1784,3598.0,1284.48,2313.52
motorcycle_1742,3598.0,1254.24,2343.76
bus_988,3598.0,711.36,2886.64
motorcycle_978,3598.0,704.16,2893.84
car_975,3598.0,702.0,2896.0
motorcycle_971,3598.0,699.12,2898.88
bus_970,3598.0,698.4,2899.6
truck_967,3598.0,696.24,2901.76
car_964,3598.0,694.08,2903.92
bus_960,3598.0,691.2,2906.8
car_959,3598.0,690.48,2907.52
