id,last_fcd_time,depart,time_in_network
motorcycle_936,3598.0,673.92,2924.08
car_933,3598.0,671.76,2926.24
car_929,3598.0,668.88,2929.12
truck_926,3598.0,666.72,2931.2799999999997
car_921,3598.0,663.12,2934.88
motorcycle_919,3598.0,661.68,2936.32
car_916,3598.0,659.52,2938.48
car_915,3598.0,658.8,2939.2
bus_910,3598.0,655.2,2942.8
truck_904,3598.0,650.88,2947.12
motorcycle_896,3598.0,645.12,2952.88
bus_885,3598.0,637.2,2960.8
truck_877,3598.0,631.44,2966.56
car_868,3598.0,624.96,2973.04
motorcycle_854,3598.0,614.88,2983.12
motorcycle_850,3598.0,612.0,2986.0
motorcycle_845,3598.0,608.4,2989.6
motorcycle_810,3598.0,583.2,3014.8
motorcycle_786,3598.0,565.92,3032.08
motorcycle_656,3598.0,472.32,3125.68
bus_655,3598.0,471.6,3126.4
bus_654,3598.0,470.88,3127.12
bus_653,3598.0,470.16,3127.84
car_650,3598.0,468.0,3130.0
car_646,3598.0,465.12,3132.88
car_644,3598.0,463.68,3134.32
motorcycle_635,3598.0,457.2,3140.8
bus_624,3598.0,449.28,3148.7200000000003
bus_618,3598.0,444.96,3153.04
motorcycle_597,3598.0,429.84,3168.16
car_595,3598.0,428.4,3169.6
truck_567,3598.0,408.24,3189.76
motorcycle_564,3598.0,406.08,3191.92
truck_558,3598.0,401.76,3196.24
truck_555,3598.0,399.6,3198.4
motorcycle_554,3598.0,398.88,3199.12
car_550,3598.0,396.0,3202.0
bus_544,3598.0,391.68,3206.32
bus_543,3598.0,390.96,3207.04
car_542,3598.0,390.24,3207.76
motorcycle_535,3598.0,385.2,3212.8
bus_528,3598.0,380.16,3217.84
truck_508,3598.0,365.76,3232.24
