id,last_fcd_time,depart,time_in_network
car_3420,3598.0,2462.4,1135.6
truck_3417,3598.0,2460.24,1137.7600000000002
motorcycle_3411,3598.0,2455.92,1142.08
car_3402,3598.0,2449.44,1148.56
motorcycle_3394,3598.0,2443.68,1154.3200000000002
truck_3385,3598.0,2437.2,1160.8000000000002
motorcycle_3348,3598.0,2410.56,1187.44
car_3334,3598.0,2400.48,1197.52
motorcycle_3317,3598.0,2388.24,1209.7600000000002
bus_3308,3598.0,2381.76,1216.2399999999998
car_3268,3598.0,2352.96,1245.04
truck_3248,3598.0,2338.56,1259.44
car_3240,3598.0,2332.8,1265.1999999999998
truck_3220,3598.0,2318.4,1279.6
car_3185,3598.0,2293.2,1304.8000000000002
truck_3154,3598.0,2270.88,1327.12
truck_3117,3598.0,2244.24,1353.7600000000002
car_3111,3598.0,2239.92,1358.08
car_3102,3598.0,2233.44,1364.56
bus_3065,3598.0,2206.8,1391.1999999999998
car_2997,3598.0,2157.84,1440.1599999999999
car_2965,3598.0,2134.8,1463.1999999999998
motorcycle_2897,3598.0,2085.84,1512.1599999999999
truck_2894,3598.0,2083.68,1514.3200000000002
bus_2780,3598.0,2001.6,1596.4
car_2768,3598.0,1992.96,1605.04
car_2765,3598.0,1990.8,1607.2
car_2762,3598.0,1988.64,1609.36
truck_2745,3598.0,1976.4,1621.6
car_2740,3598.0,1972.8,1625.2
truck_2737,3598.0,1970.64,1627.36
bus_2557,3598.0,1841.04,1756.96
car_2551,3598.0,1836.72,1761.28
motorcycle_2537,3598.0,1826.64,1771.36
motorcycle_2522,3598.0,1815.84,1782.16
bus_2520,3598.0,1814.4,1783.6
car_2517,3598.0,1812.24,1785.76
bus_2514,3598.0,1810.08,1787.92
bus_2497,3598.0,1797.84,1800.16
bus_2485,3598.0,1789.2,1808.8
motorcycle_2388,3598.0,1719.36,1878.64
bus_2308,3598.0,1661.76,1936.24
car_2254,3598.0,1622.88,1975.12
