id,last_fcd_time,depart,time_in_network
bus_2028,3598.0,1460.16,2137.84
car_2025,3598.0,1458.0,2140.0
motorcycle_2014,3598.0,1450.08,2147.92
bus_1991,3598.0,1433.52,2164.48
car_1977,3598.0,1423.44,2174.56
motorcycle_1974,3598.0,1421.28,2176.7200000000003
motorcycle_1960,3598.0,1411.2,2186.8
motorcycle_1954,3598.0,1406.88,2191.12
motorcycle_1945,3598.0,1400.4,2197.6
motorcycle_1942,3598.0,1398.24,2199.76
car_1934,3598.0,1392.48,2205.52
car_1911,3598.0,1375.92,2222.08
bus_1908,3598.0,1373.76,2224.24
car_1905,3598.0,1371.6,2226.4
car_1902,3598.0,1369.44,2228.56
motorcycle_1894,3598.0,1363.68,2234.3199999999997
motorcycle_1891,3598.0,1361.52,2236.48
motorcycle_1880,3598.0,1353.6,2244.4
motorcycle_1877,3598.0,1351.44,2246.56
car_1868,3598.0,1344.96,2253.04
car_1865,3598.0,1342.8,2255.2
bus_1848,3598.0,1330.56,2267.44
car_1845,3598.0,1328.4,2269.6
car_1828,3598.0,1316.16,2281.84
truck_1808,3598.0,1301.76,2296.24
car_1800,3598.0,1296.0,2302.0
car_1768,3598.0,1272.96,2325.04
bus_1754,3598.0,1262.88,2335.12
bus_1748,3598.0,1258.56,2339.44
motorcycle_1742,3598.0,1254.24,2343.76
bus_1722,3598.0,1239.84,2358.16
bus_1720,3598.0,1238.4,2359.6
car_1711,3598.0,1231.92,2366.08
car_1525,3598.0,1098.0,2500.0
bus_1520,3598.0,1094.4,2503.6
bus_1517,3598.0,1092.24,2505.76
motorcycle_1502,3598.0,1081.44,2516.56
car_1477,3598.0,1063.44,2534.56
bus_1474,3598.0,1061.28,2536.7200000000003
car_1465,3598.0,1054.8,2543.2
bus_1428,3598.0,1028.16,2569.84
