id,last_fcd_time,depart,time_in_network
car_2287,3598.0,1646.64,1951.36
car_2273,3598.0,1636.56,1961.44
car_2260,3598.0,1627.2,1970.8
car_2258,3598.0,1625.76,1972.24
car_2255,3598.0,1623.6,1974.4
bus_2253,3598.0,1622.16,1975.84
car_2252,3598.0,1621.44,1976.56
motorcycle_2250,3598.0,1620.0,1978.0
truck_2215,3598.0,1594.8,2003.2
car_2207,3598.0,1589.04,2008.96
bus_2195,3598.0,1580.4,2017.6
truck_2192,3598.0,1578.24,2019.76
motorcycle_2189,3598.0,1576.08,2021.92
motorcycle_2175,3598.0,1566.0,2032.0
motorcycle_2160,3598.0,1555.2,2042.8
car_2152,3598.0,1549.44,2048.56
car_2132,3598.0,1535.04,2062.96
bus_2095,3598.0,1508.4,2089.6
bus_2089,3598.0,1504.08,2093.92
motorcycle_1772,3598.0,1275.84,2322.16
car_1769,3598.0,1273.68,2324.3199999999997
motorcycle_1763,3598.0,1269.36,2328.6400000000003
motorcycle_1761,3598.0,1267.92,2330.08
bus_1758,3598.0,1265.76,2332.24
motorcycle_1752,3598.0,1261.44,2336.56
motorcycle_1749,3598.0,1259.28,2338.7200000000003
motorcycle_1741,3598.0,1253.52,2344.48
car_1735,3598.0,1249.2,2348.8
motorcycle_1733,3598.0,1247.76,2350.24
motorcycle_1732,3598.0,1247.04,2350.96
motorcycle_1724,3598.0,1241.28,2356.7200000000003
car_1669,3598.0,1201.68,2396.3199999999997
car_1400,3598.0,1008.0,2590.0
motorcycle_1396,3598.0,1005.12,2592.88
car_1389,3598.0,1000.08,2597.92
motorcycle_1384,3598.0,996.48,2601.52
bus_1378,3598.0,992.16,2605.84
car_1375,3598.0,990.0,2608.0
car_1366,3598.0,983.52,2614.48
truck_1360,3598.0,979.2,2618.8
truck_1358,3598.0,977.76,2620.24
motorcycle_1347,3598.0,969.84,2628.16
car_1343,3598.0,966.96,2631.04
car_1335,3598.0,961.2,2636.8
truck_1330,3598.0,957.6,2640.4
motorcycle_1304,3598.0,938.88,2659.12
motorcycle_1298,3598.0,934.56,2663.44
