id,last_fcd_time,depart,time_in_network
car_4983,3598.0,3587.76,10.239999999999782
motorcycle_4980,3598.0,3585.6,12.400000000000091
motorcycle_4975,3598.0,3582.0,16.0
car_4967,3598.0,3576.24,21.76000000000022
bus_4963,3598.0,3573.36,24.639999999999873
bus_4953,3598.0,3566.16,31.840000000000146
car_4938,3598.0,3555.36,42.63999999999987
bus_4923,3598.0,3544.56,53.440000000000055
bus_3244,3598.0,2335.68,1262.3200000000002
bus_3235,3598.0,2329.2,1268.8000000000002
motorcycle_3233,3598.0,2327.76,1270.2399999999998
car_3226,3598.0,2322.72,1275.2800000000002
car_3212,3598.0,2312.64,1285.3600000000001
motorcycle_3209,3598.0,2310.48,1287.52
car_3196,3598.0,2301.12,1296.88
car_1823,3598.0,1312.56,2285.44
car_1820,3598.0,1310.4,2287.6
motorcycle_1810,3598.0,1303.2,2294.8
motorcycle_1807,3598.0,1301.04,2296.96
car_1801,3598.0,1296.72,2301.2799999999997
bus_1793,3598.0,1290.96,2307.04
motorcycle_1783,3598.0,1283.76,2314.24
car_1773,3598.0,1276.56,2321.44
car_1770,3598.0,1274.4,2323.6
car_1755,3598.0,1263.6,2334.4
