id,last_fcd_time,depart,time_in_network
bus_2548,3598.0,1834.56,1763.44
bus_2546,3598.0,1833.12,1764.88
car_2543,3598.0,1830.96,1767.04
truck_2542_dup,3598.0,1830.6,1767.4
truck_2542,3598.0,1830.24,1767.76
car_2530_dup,3598.0,1821.96,1776.04
car_2530,3598.0,1821.6,1776.4
car_2527_dup,3598.0,1819.8,1778.2
car_2527,3598.0,1819.44,1778.56
truck_2525_dup,3598.0,1818.36,1779.64
car_2508,3598.0,1805.76,1792.24
bus_1228,3598.0,884.16,2713.84
car_1226,3598.0,882.72,2715.2799999999997
bus_1225_dup,3598.0,882.36,2715.64
bus_1225,3598.0,882.0,2716.0
bus_1221,3598.0,879.12,2718.88
motorcycle_1220_dup,3598.0,878.76,2719.24
car_1219,3598.0,877.68,2720.32
motorcycle_1206,3598.0,868.32,2729.68
car_1204,3598.0,866.88,2731.12
car_1193,3598.0,858.96,2739.04
car_1187_dup,3598.0,855.0,2743.0
car_1187,3598.0,854.64,2743.36
car_632,3598.0,455.04,3142.96
car_629,3598.0,452.88,3145.12
car_627_dup,3598.0,451.8,3146.2
car_627,3598.0,451.44,3146.56
bus_622_dup,3598.0,448.2,3149.8
bus_622,3598.0,447.84,3150.16
car_621,3598.0,447.12,3150.88
motorcycle_616,3598.0,443.52,3154.48
truck_614,3598.0,442.08,3155.92
bus_613,3598.0,441.36,3156.64
motorcycle_610_dup,3598.0,439.56,3158.44
motorcycle_610,3598.0,439.2,3158.8
car_608,3598.0,437.76,3160.24
motorcycle_606,3598.0,436.32,3161.68
