id,last_fcd_time,depart,time_in_network
truck_1455_dup,3598.0,1047.96,2550.04
truck_1455,3598.0,1047.6,2550.4
motorcycle_1452_dup,3598.0,1045.8,2552.2
motorcycle_1452,3598.0,1045.44,2552.56
car_1451,3598.0,1044.72,2553.2799999999997
truck_1444,3598.0,1039.68,2558.3199999999997
car_1436,3598.0,1033.92,2564.08
motorcycle_1181,3598.0,850.32,2747.68
car_1180_dup,3598.0,849.96,2748.04
car_1180,3598.0,849.6,2748.4
car_1177_dup,3598.0,847.8,2750.2
car_1177,3598.0,847.44,2750.56
car_1157_dup,3598.0,833.4,2764.6
car_1157,3598.0,833.04,2764.96
motorcycle_1148,3598.0,826.56,2771.44
truck_967_dup,3598.0,696.6,2901.4
truck_967,3598.0,696.24,2901.76
car_964,3598.0,694.08,2903.92
bus_960_dup,3598.0,691.56,2906.44
bus_960,3598.0,691.2,2906.8
car_959,3598.0,690.48,2907.52
bus_932_dup,3598.0,671.4,2926.6
