id,last_fcd_time,depart,time_in_network
motorcycle_1954,3598.0,1591.19,2006.81
bus_1953,3598.0,1590.78,2007.22
car_1952,3598.0,1590.37,2007.63
car_1948,3598.0,1588.74,2009.26
bus_1944,3598.0,1587.11,2010.89
bus_1943,3598.0,1586.7,2011.3
car_1941,3598.0,1585.89,2012.11
car_1937,3598.0,1584.25,2013.75
bus_1936,3598.0,1583.84,2014.16
car_1934,3598.0,1583.02,2014.98
motorcycle_1927,3598.0,1580.16,2017.84
car_1910,3598.0,1573.17,2024.83
car_1905,3598.0,1571.11,2026.89
motorcycle_1460,3598.0,1375.42,2222.58
motorcycle_1459,3598.0,1374.95,2223.05
motorcycle_1453,3598.0,1372.12,2225.88
bus_1450,3598.0,1370.7,2227.3
motorcycle_1442,3598.0,1366.92,2231.08
motorcycle_1440,3598.0,1365.97,2232.0299999999997
motorcycle_1435,3598.0,1363.59,2234.41
motorcycle_1434,3598.0,1363.12,2234.88
car_1433,3598.0,1362.64,2235.3599999999997
motorcycle_1432,3598.0,1362.17,2235.83
motorcycle_1426,3598.0,1359.31,2238.69
car_1425,3598.0,1358.83,2239.17
motorcycle_1424,3598.0,1358.36,2239.6400000000003
car_1422,3598.0,1357.4,2240.6
bus_1421,3598.0,1356.93,2241.0699999999997
motorcycle_1420,3598.0,1356.45,2241.55
motorcycle_1417,3598.0,1355.01,2242.99
car_1414,3598.0,1353.58,2244.42
motorcycle_1082,3598.0,1184.06,2413.94
motorcycle_1079,3598.0,1182.41,2415.59
car_1073,3598.0,1179.12,2418.88
bus_1068,3598.0,1176.37,2421.63
bus_1060,3598.0,1171.96,2426.04
motorcycle_1056,3598.0,1169.74,2428.26
car_1052,3598.0,1167.53,2430.4700000000003
car_1049,3598.0,1165.86,2432.1400000000003
