id,last_fcd_time,depart,time_in_network
car_3402,3598.0,2160.77,1437.23
car_3396,3598.0,2158.07,1439.9299999999998
motorcycle_3394,3598.0,2157.18,1440.8200000000002
car_3393,3598.0,2156.73,1441.27
car_3386,3598.0,2153.59,1444.4099999999999
truck_3385,3598.0,2153.14,1444.8600000000001
bus_3381,3598.0,2151.35,1446.65
car_3372,3598.0,2147.33,1450.67
car_3356,3598.0,2140.2,1457.8000000000002
motorcycle_3355,3598.0,2139.76,1458.2399999999998
motorcycle_3348,3598.0,2136.66,1461.3400000000001
motorcycle_1640,3598.0,1457.74,2140.26
bus_1636,3598.0,1455.96,2142.04
bus_1634,3598.0,1455.07,2142.9300000000003
car_1626,3598.0,1451.51,2146.49
car_1623,3598.0,1450.17,2147.83
truck_1611,3598.0,1444.8,2153.2
truck_1602,3598.0,1440.76,2157.24
motorcycle_1574,3598.0,1428.11,2169.8900000000003
bus_1571,3598.0,1426.75,2171.25
car_821,3598.0,1031.41,2566.59
motorcycle_816,3598.0,1028.26,2569.74
truck_809,3598.0,1023.84,2574.16
truck_799,3598.0,1017.5,2580.5
car_796,3598.0,1015.58,2582.42
truck_793,3598.0,1013.67,2584.33
bus_788,3598.0,1010.47,2587.5299999999997
car_782,3598.0,1006.61,2591.39
car_781,3598.0,1005.97,2592.0299999999997
