id,last_fcd_time,depart,time_in_network
bus_1237,3598.0,890.64,2707.36
motorcycle_1232,3598.0,887.04,2710.96
car_1226,3598.0,882.72,2715.2799999999997
car_1219,3598.0,877.68,2720.32
car_1204,3598.0,866.88,2731.12
car_1158,3598.0,833.76,2764.24
car_1134,3598.0,816.48,2781.52
bus_1119,3598.0,805.68,2792.32
car_1100,3598.0,792.0,2806.0
truck_1090,3598.0,784.8,2813.2
car_1010,3598.0,727.2,2870.8
car_999,3598.0,719.28,2878.7200000000003
bus_885_dup,3598.0,637.56,2960.44
bus_885,3598.0,637.2,2960.8
truck_877_dup,3598.0,631.8,2966.2
truck_877,3598.0,631.44,2966.56
car_868_dup,3598.0,625.32,2972.68
car_868,3598.0,624.96,2973.04
motorcycle_854_dup,3598.0,615.24,2982.76
motorcycle_854,3598.0,614.88,2983.12
motorcycle_850_dup,3598.0,612.36,2985.64
motorcycle_850,3598.0,612.0,2986.0
motorcycle_845_dup,3598.0,608.76,2989.24
motorcycle_845,3598.0,608.4,2989.6
motorcycle_810_dup,3598.0,583.56,3014.44
motorcycle_810,3598.0,583.2,3014.8
motorcycle_786_dup,3598.0,566.28,3031.7200000000003
motorcycle_786,3598.0,565.92,3032.08
car_771_dup,3598.0,555.48,3042.52
car_771,3598.0,555.12,3042.88
bus_769_dup,3598.0,554.04,3043.96
bus_769,3598.0,553.68,3044.32
truck_768_dup,3598.0,553.32,3044.68
truck_768,3598.0,552.96,3045.04
car_762_dup,3598.0,549.0,3049.0
car_762,3598.0,548.64,3049.36
motorcycle_761_dup,3598.0,548.28,3049.7200000000003
motorcycle_761,3598.0,547.92,3050.08
motorcycle_743_dup,3598.0,535.32,3062.68
motorcycle_743,3598.0,534.96,3063.04
bus_140,3598.0,100.8,3497.2
car_139_dup,3598.0,100.44,3497.56
car_139,3598.0,100.08,3497.92
bus_134_dup,3598.0,96.84,3501.16
bus_134,3598.0,96.48,3501.52
motorcycle_132_dup,3598.0,95.4,3502.6
motorcycle_132,3598.0,95.04,3502.96
car_113_dup,3598.0,81.72,3516.28
car_113,3598.0,81.36,3516.64
motorcycle_111_dup,3598.0,80.28,3517.72
motorcycle_111,3598.0,79.92,3518.08
