id,last_fcd_time,depart,time_in_network
motorcycle_1630,3598.0,1173.6,2424.4
car_1624,3598.0,1169.28,2428.7200000000003
bus_1621,3598.0,1167.12,2430.88
car_1619,3598.0,1165.68,2432.3199999999997
motorcycle_1617,3598.0,1164.24,2433.76
car_1610,3598.0,1159.2,2438.8
bus_1595,3598.0,1148.4,2449.6
car_1593,3598.0,1146.96,2451.04
car_1572,3598.0,1131.84,2466.16
car_1556,3598.0,1120.32,2477.6800000000003
motorcycle_1555,3598.0,1119.6,2478.4
car_1554,3598.0,1118.88,2479.12
bus_1542,3598.0,1110.24,2487.76
car_1535,3598.0,1105.2,2492.8
bus_1499,3598.0,1079.28,2518.7200000000003
car_1493,3598.0,1074.96,2523.04
car_1476,3598.0,1062.72,2535.2799999999997
bus_1467,3598.0,1056.24,2541.76
truck_1455,3598.0,1047.6,2550.4
motorcycle_1452,3598.0,1045.44,2552.56
car_961,3598.0,691.92,2906.08
car_958,3598.0,689.76,2908.24
motorcycle_957,3598.0,689.04,2908.96
car_956,3598.0,688.32,2909.68
motorcycle_955,3598.0,687.6,2910.4
car_954,3598.0,686.88,2911.12
bus_953,3598.0,686.16,2911.84
bus_952,3598.0,685.44,2912.56
car_939,3598.0,676.08,2921.92
motorcycle_937,3598.0,674.64,2923.36
car_934,3598.0,672.48,2925.52
car_927,3598.0,667.44,2930.56
motorcycle_925,3598.0,666.0,2932.0
motorcycle_920,3598.0,662.4,2935.6
bus_912,3598.0,656.64,2941.36
truck_567,3598.0,408.24,3189.76
motorcycle_564,3598.0,406.08,3191.92
truck_558,3598.0,401.76,3196.24
truck_555,3598.0,399.6,3198.4
motorcycle_554,3598.0,398.88,3199.12
car_550,3598.0,396.0,3202.0
bus_544,3598.0,391.68,3206.32
bus_543,3598.0,390.96,3207.04
car_542,3598.0,390.24,3207.76
car_539,3598.0,388.08,3209.92
motorcycle_535,3598.0,385.2,3212.8
bus_528,3598.0,380.16,3217.84
