id,last_fcd_time,depart,time_in_network
bus_885,3598.0,637.2,2960.8
truck_877,3598.0,631.44,2966.56
bus_874,3598.0,629.28,2968.7200000000003
car_868,3598.0,624.96,2973.04
truck_860,3598.0,619.2,2978.8
motorcycle_855,3598.0,615.6,2982.4
motorcycle_854,3598.0,614.88,2983.12
motorcycle_850,3598.0,612.0,2986.0
motorcycle_845,3598.0,608.4,2989.6
motorcycle_810,3598.0,583.2,3014.8
motorcycle_786,3598.0,565.92,3032.08
car_771,3598.0,555.12,3042.88
bus_769,3598.0,553.68,3044.32
truck_768,3598.0,552.96,3045.04
car_762,3598.0,548.64,3049.36
motorcycle_761,3598.0,547.92,3050.08
motorcycle_743,3598.0,534.96,3063.04
motorcycle_709,3598.0,510.48,3087.52
car_699,3598.0,503.28,3094.7200000000003
bus_695,3598.0,500.4,3097.6
car_690,3598.0,496.8,3101.2
motorcycle_667,3598.0,480.24,3117.76
motorcycle_661,3598.0,475.92,3122.08
car_660,3598.0,475.2,3122.8
truck_504,3598.0,362.88,3235.12
motorcycle_503,3598.0,362.16,3235.84
car_501,3598.0,360.72,3237.2799999999997
car_499,3598.0,359.28,3238.7200000000003
motorcycle_497,3598.0,357.84,3240.16
bus_493,3598.0,354.96,3243.04
car_491,3598.0,353.52,3244.48
bus_489,3598.0,352.08,3245.92
car_486,3598.0,349.92,3248.08
truck_480,3598.0,345.6,3252.4
car_478,3598.0,344.16,3253.84
bus_469,3598.0,337.68,3260.32
motorcycle_451,3598.0,324.72,3273.2799999999997
car_303,3598.0,218.16,3379.84
car_301,3598.0,216.72,3381.28
bus_300,3598.0,216.0,3382.0
car_291,3598.0,209.52,3388.48
car_290,3598.0,208.8,3389.2
truck_289,3598.0,208.08,3389.92
motorcycle_282,3598.0,203.04,3394.96
car_274,3598.0,197.28,3400.72
car_270,3598.0,194.4,3403.6
car_263,3598.0,189.36,3408.64
car_262,3598.0,188.64,3409.36
car_249,3598.0,179.28,3418.72
car_240,3598.0,172.8,3425.2
