id,last_fcd_time,depart,time_in_network
car_4883,3598.0,3515.76,82.23999999999978
car_4881,3598.0,3514.32,83.67999999999984
car_4866,3598.0,3503.52,94.48000000000002
bus_4850,3598.0,3492.0,106.0
truck_4838,3598.0,3483.36,114.63999999999987
bus_4830,3598.0,3477.6,120.40000000000009
bus_4821,3598.0,3471.12,126.88000000000011
bus_4807,3598.0,3461.04,136.96000000000004
car_4718,3598.0,3396.96,201.03999999999996
car_4706,3598.0,3388.32,209.67999999999984
car_4695,3598.0,3380.4,217.5999999999999
car_3227,3598.0,2323.44,1274.56
car_3226,3598.0,2322.72,1275.2800000000002
car_3218,3598.0,2316.96,1281.04
motorcycle_3216,3598.0,2315.52,1282.48
car_3212,3598.0,2312.64,1285.3600000000001
motorcycle_3209,3598.0,2310.48,1287.52
car_3201,3598.0,2304.72,1293.2800000000002
car_3196,3598.0,2301.12,1296.88
car_3189,3598.0,2296.08,1301.92
car_3186,3598.0,2293.92,1304.08
truck_3181,3598.0,2290.32,1307.6799999999998
motorcycle_3180,3598.0,2289.6,1308.4
truck_3175,3598.0,2286.0,1312.0
motorcycle_3173,3598.0,2284.56,1313.44
car_3160,3598.0,2275.2,1322.8000000000002
motorcycle_3156,3598.0,2272.32,1325.6799999999998
bus_3126,3598.0,2250.72,1347.2800000000002
bus_2000,3598.0,1440.0,2158.0
car_1987,3598.0,1430.64,2167.3599999999997
bus_1973,3598.0,1420.56,2177.44
car_1969,3598.0,1417.68,2180.3199999999997
motorcycle_1955,3598.0,1407.6,2190.4
bus_1949,3598.0,1403.28,2194.7200000000003
bus_1932,3598.0,1391.04,2206.96
truck_1924,3598.0,1385.28,2212.7200000000003
