id,last_fcd_time,depart,time_in_network
car_3521,3598.0,2535.12,1062.88
truck_3518,3598.0,2532.96,1065.04
bus_3516,3598.0,2531.52,1066.48
motorcycle_3513,3598.0,2529.36,1068.6399999999999
bus_3506,3598.0,2524.32,1073.6799999999998
motorcycle_3504,3598.0,2522.88,1075.12
motorcycle_3490,3598.0,2512.8,1085.1999999999998
car_3473,3598.0,2500.56,1097.44
motorcycle_3464,3598.0,2494.08,1103.92
truck_2556,3598.0,1840.32,1757.68
motorcycle_2555,3598.0,1839.6,1758.4
bus_2552,3598.0,1837.44,1760.56
motorcycle_2544,3598.0,1831.68,1766.32
car_2533,3598.0,1823.76,1774.24
car_2518,3598.0,1812.96,1785.04
car_2516,3598.0,1811.52,1786.48
car_2513,3598.0,1809.36,1788.64
car_2504,3598.0,1802.88,1795.12
car_2498,3598.0,1798.56,1799.44
motorcycle_2493,3598.0,1794.96,1803.04
motorcycle_2458,3598.0,1769.76,1828.24
motorcycle_2453,3598.0,1766.16,1831.84
car_2450,3598.0,1764.0,1834.0
motorcycle_2449,3598.0,1763.28,1834.72
car_2447,3598.0,1761.84,1836.16
bus_1512,3598.0,1088.64,2509.3599999999997
motorcycle_1510,3598.0,1087.2,2510.8
motorcycle_1507,3598.0,1085.04,2512.96
car_1495,3598.0,1076.4,2521.6
bus_1484,3598.0,1068.48,2529.52
motorcycle_1481,3598.0,1066.32,2531.6800000000003
car_1466,3598.0,1055.52,2542.48
