id,last_fcd_time,depart,time_in_network
bus_1658,3598.0,1193.76,2404.24
bus_1653,3598.0,1190.16,2407.84
bus_1652_dup,3598.0,1189.8,2408.2
bus_1652,3598.0,1189.44,2408.56
truck_1650_dup,3598.0,1188.36,2409.6400000000003
truck_1650,3598.0,1188.0,2410.0
truck_1645_dup,3598.0,1184.76,2413.24
truck_1645,3598.0,1184.4,2413.6
bus_1621,3598.0,1167.12,2430.88
car_1247_dup,3598.0,898.2,2699.8
car_1247,3598.0,897.84,2700.16
bus_1246,3598.0,897.12,2700.88
car_1245_dup,3598.0,896.76,2701.24
car_1245,3598.0,896.4,2701.6
car_1242_dup,3598.0,894.6,2703.4
car_1242,3598.0,894.24,2703.76
car_1239,3598.0,892.08,2705.92
bus_1237_dup,3598.0,891.0,2707.0
bus_1237,3598.0,890.64,2707.36
motorcycle_1232_dup,3598.0,887.4,2710.6
motorcycle_1232,3598.0,887.04,2710.96
bus_1228,3598.0,884.16,2713.84
car_760_dup,3598.0,547.56,3050.44
car_760,3598.0,547.2,3050.8
car_758,3598.0,545.76,3052.24
car_755_dup,3598.0,543.96,3054.04
car_755,3598.0,543.6,3054.4
bus_752_dup,3598.0,541.8,3056.2
bus_752,3598.0,541.44,3056.56
car_751,3598.0,540.72,3057.2799999999997
truck_729,3598.0,524.88,3073.12
