id,last_fcd_time,depart,time_in_network
bus_1315_dup,3598.0,947.16,2650.84
bus_1315,3598.0,946.8,2651.2
car_1308,3598.0,941.76,2656.24
motorcycle_1306,3598.0,940.32,2657.68
car_1301,3598.0,936.72,2661.2799999999997
car_1299,3598.0,935.28,2662.7200000000003
bus_1296,3598.0,933.12,2664.88
bus_1267_dup,3598.0,912.6,2685.4
bus_1267,3598.0,912.24,2685.76
car_1262_dup,3598.0,909.0,2689.0
car_1262,3598.0,908.64,2689.36
car_1259,3598.0,906.48,2691.52
car_1256,3598.0,904.32,2693.68
bus_1254,3598.0,902.88,2695.12
bus_1252_dup,3598.0,901.8,2696.2
bus_1252,3598.0,901.44,2696.56
motorcycle_529,3598.0,380.88,3217.12
motorcycle_526,3598.0,378.72,3219.2799999999997
car_525_dup,3598.0,378.36,3219.64
car_525,3598.0,378.0,3220.0
car_519,3598.0,373.68,3224.32
bus_517_dup,3598.0,372.6,3225.4
bus_517,3598.0,372.24,3225.76
car_514,3598.0,370.08,3227.92
bus_511,3598.0,367.92,3230.08
truck_504,3598.0,362.88,3235.12
motorcycle_503,3598.0,362.16,3235.84
car_501,3598.0,360.72,3237.2799999999997
bus_493,3598.0,354.96,3243.04
bus_235,3598.0,169.2,3428.8
bus_232_dup,3598.0,167.4,3430.6
bus_232,3598.0,167.04,3430.96
car_223,3598.0,160.56,3437.44
car_221,3598.0,159.12,3438.88
bus_218,3598.0,156.96,3441.04
motorcycle_212_dup,3598.0,153.0,3445.0
motorcycle_212,3598.0,152.64,3445.36
