id,last_fcd_time,depart,time_in_network
bus_3282,3598.0,2107.71,1490.29
bus_3275,3598.0,2104.67,1493.33
car_3274,3598.0,2104.24,1493.7600000000002
car_3268,3598.0,2101.64,1496.3600000000001
truck_3248,3598.0,2093.01,1504.9899999999998
car_3240,3598.0,2089.58,1508.42
motorcycle_3224,3598.0,2082.72,1515.2800000000002
truck_3220,3598.0,2081.02,1516.98
bus_3190,3598.0,2068.27,1529.73
car_3185,3598.0,2066.15,1531.85
truck_1588,3598.0,1434.45,2163.55
motorcycle_1587,3598.0,1433.99,2164.01
car_1585,3598.0,1433.09,2164.91
truck_1582,3598.0,1431.73,2166.27
motorcycle_1580,3598.0,1430.83,2167.17
car_1578,3598.0,1429.92,2168.08
motorcycle_1574,3598.0,1428.11,2169.8900000000003
bus_1571,3598.0,1426.75,2171.25
car_1567,3598.0,1424.93,2173.0699999999997
truck_765,3598.0,995.61,2602.39
car_763,3598.0,994.31,2603.69
car_760,3598.0,992.35,2605.65
car_758,3598.0,991.05,2606.95
car_755,3598.0,989.08,2608.92
bus_752,3598.0,987.12,2610.88
car_751,3598.0,986.46,2611.54
