id,last_fcd_time,depart,time_in_network
bus_2195,3598.0,1686.46,1911.54
truck_2192,3598.0,1685.31,1912.69
motorcycle_2189,3598.0,1684.15,1913.85
motorcycle_2179,3598.0,1680.3,1917.7
car_2177,3598.0,1679.53,1918.47
motorcycle_2175,3598.0,1678.76,1919.24
truck_2173,3598.0,1677.99,1920.01
car_2170,3598.0,1676.83,1921.17
motorcycle_2168,3598.0,1676.06,1921.94
car_2165,3598.0,1674.9,1923.1
motorcycle_2160,3598.0,1672.96,1925.04
car_2152,3598.0,1669.86,1928.14
motorcycle_2150,3598.0,1669.08,1928.92
car_1669,3598.0,1470.58,2127.42
motorcycle_1656,3598.0,1464.84,2133.16
bus_1655,3598.0,1464.39,2133.6099999999997
car_1648,3598.0,1461.29,2136.71
motorcycle_1644,3598.0,1459.52,2138.48
motorcycle_1640,3598.0,1457.74,2140.26
bus_1636,3598.0,1455.96,2142.04
bus_1634,3598.0,1455.07,2142.9300000000003
car_1626,3598.0,1451.51,2146.49
car_1623,3598.0,1450.17,2147.83
truck_1611,3598.0,1444.8,2153.2
car_951,3598.0,1110.07,2487.9300000000003
motorcycle_950,3598.0,1109.48,2488.52
bus_948,3598.0,1108.32,2489.6800000000003
car_947,3598.0,1107.73,2490.27
bus_938,3598.0,1102.45,2495.55
bus_932,3598.0,1098.92,2499.08
motorcycle_931,3598.0,1098.33,2499.67
car_922,3598.0,1093.01,2504.99
